year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,total_casos,total_muertes,total_recuperados,promedio_letalidad,años_registrados,decada
1995,ARG,Argentina,AMRO,-34.6,-58.4,HPS,90,34,56,0.3778,80,34,1,37.36,2943,842,2101,0.2886838709677419,31,1990
1996,ARG,Argentina,AMRO,-34.6,-58.4,HPS,75,16,59,0.2133,69,29,4,21.05,2943,842,2101,0.2886838709677419,31,1990
1997,ARG,Argentina,AMRO,-34.6,-58.4,HPS,60,23,37,0.3833,54,16,0,37.7,2943,842,2101,0.2886838709677419,31,1990
1998,ARG,Argentina,AMRO,-34.6,-58.4,HPS,62,16,46,0.2581,53,20,1,25.4,2943,842,2101,0.2886838709677419,31,1990
1999,ARG,Argentina,AMRO,-34.6,-58.4,HPS,81,19,62,0.2346,65,23,2,23.17,2943,842,2101,0.2886838709677419,31,1990
2000,ARG,Argentina,AMRO,-34.6,-58.4,HPS,100,24,76,0.24,85,36,0,23.76,2943,842,2101,0.2886838709677419,31,2000
2001,ARG,Argentina,AMRO,-34.6,-58.4,HPS,104,25,79,0.2404,79,42,8,23.81,2943,842,2101,0.2886838709677419,31,2000
2002,ARG,Argentina,AMRO,-34.6,-58.4,HPS,117,30,87,0.2564,90,40,4,25.42,2943,842,2101,0.2886838709677419,31,2000
2003,ARG,Argentina,AMRO,-34.6,-58.4,HPS,77,23,54,0.2987,58,30,1,29.49,2943,842,2101,0.2886838709677419,31,2000
2004,ARG,Argentina,AMRO,-34.6,-58.4,HPS,91,24,67,0.2637,77,31,1,26.09,2943,842,2101,0.2886838709677419,31,2000
2005,ARG,Argentina,AMRO,-34.6,-58.4,HPS,96,33,63,0.3438,90,46,4,34.02,2943,842,2101,0.2886838709677419,31,2000
2006,ARG,Argentina,AMRO,-34.6,-58.4,HPS,98,22,76,0.2245,77,20,2,22.22,2943,842,2101,0.2886838709677419,31,2000
2007,ARG,Argentina,AMRO,-34.6,-58.4,HPS,87,22,65,0.2529,79,28,1,25.0,2943,842,2101,0.2886838709677419,31,2000
2008,ARG,Argentina,AMRO,-34.6,-58.4,HPS,106,24,82,0.2264,96,26,8,22.43,2943,842,2101,0.2886838709677419,31,2000
2009,ARG,Argentina,AMRO,-34.6,-58.4,HPS,122,29,93,0.2377,91,45,6,23.58,2943,842,2101,0.2886838709677419,31,2000
2010,ARG,Argentina,AMRO,-34.6,-58.4,HPS,112,39,73,0.3482,85,30,1,34.51,2943,842,2101,0.2886838709677419,31,2010
2011,ARG,Argentina,AMRO,-34.6,-58.4,HPS,105,33,72,0.3143,85,22,2,31.13,2943,842,2101,0.2886838709677419,31,2010
2012,ARG,Argentina,AMRO,-34.6,-58.4,HPS,74,25,49,0.3378,64,33,2,33.33,2943,842,2101,0.2886838709677419,31,2010
2013,ARG,Argentina,AMRO,-34.6,-58.4,HPS,68,23,45,0.3382,61,25,4,33.33,2943,842,2101,0.2886838709677419,31,2010
2014,ARG,Argentina,AMRO,-34.6,-58.4,HPS,96,29,67,0.3021,80,20,0,29.9,2943,842,2101,0.2886838709677419,31,2010
2015,ARG,Argentina,AMRO,-34.6,-58.4,HPS,84,27,57,0.3214,68,27,6,31.76,2943,842,2101,0.2886838709677419,31,2010
2016,ARG,Argentina,AMRO,-34.6,-58.4,HPS,98,27,71,0.2755,88,28,0,27.27,2943,842,2101,0.2886838709677419,31,2010
2017,ARG,Argentina,AMRO,-34.6,-58.4,HPS,94,22,72,0.234,87,42,4,23.16,2943,842,2101,0.2886838709677419,31,2010
2018,ARG,Argentina,AMRO,-34.6,-58.4,HPS,111,39,72,0.3514,87,45,4,34.82,2943,842,2101,0.2886838709677419,31,2010
2019,ARG,Argentina,AMRO,-34.6,-58.4,HPS,99,36,63,0.3636,80,22,1,36.0,2943,842,2101,0.2886838709677419,31,2010
2020,ARG,Argentina,AMRO,-34.6,-58.4,HPS,86,30,56,0.3488,79,19,3,34.48,2943,842,2101,0.2886838709677419,31,2020
2021,ARG,Argentina,AMRO,-34.6,-58.4,HPS,97,24,73,0.2474,75,26,7,24.49,2943,842,2101,0.2886838709677419,31,2020
2022,ARG,Argentina,AMRO,-34.6,-58.4,HPS,104,31,73,0.2981,92,33,8,29.52,2943,842,2101,0.2886838709677419,31,2020
2023,ARG,Argentina,AMRO,-34.6,-58.4,HPS,146,37,109,0.2534,124,42,3,25.17,2943,842,2101,0.2886838709677419,31,2020
2024,ARG,Argentina,AMRO,-34.6,-58.4,HPS,85,27,58,0.3176,72,19,1,31.4,2943,842,2101,0.2886838709677419,31,2020
2025,ARG,Argentina,AMRO,-34.6,-58.4,HPS,118,29,89,0.2458,91,36,9,24.37,2943,842,2101,0.2886838709677419,31,2020
1993,BRA,Brazil,AMRO,-15.8,-47.9,HPS,39,15,24,0.3846,35,11,0,37.5,1674,601,1073,0.3556666666666667,33,1990
1994,BRA,Brazil,AMRO,-15.8,-47.9,HPS,55,17,38,0.3091,48,21,0,30.36,1674,601,1073,0.3556666666666667,33,1990
1995,BRA,Brazil,AMRO,-15.8,-47.9,HPS,52,13,39,0.25,47,16,0,24.53,1674,601,1073,0.3556666666666667,33,1990
1996,BRA,Brazil,AMRO,-15.8,-47.9,HPS,41,10,31,0.2439,35,15,0,23.81,1674,601,1073,0.3556666666666667,33,1990
1997,BRA,Brazil,AMRO,-15.8,-47.9,HPS,32,11,21,0.3438,25,11,0,33.33,1674,601,1073,0.3556666666666667,33,1990
1998,BRA,Brazil,AMRO,-15.8,-47.9,HPS,32,12,20,0.375,26,13,0,36.36,1674,601,1073,0.3556666666666667,33,1990
1999,BRA,Brazil,AMRO,-15.8,-47.9,HPS,33,10,23,0.303,25,13,0,29.41,1674,601,1073,0.3556666666666667,33,1990
2000,BRA,Brazil,AMRO,-15.8,-47.9,HPS,55,16,39,0.2909,48,23,0,28.57,1674,601,1073,0.3556666666666667,33,2000
2001,BRA,Brazil,AMRO,-15.8,-47.9,HPS,54,19,35,0.3519,43,11,0,34.55,1674,601,1073,0.3556666666666667,33,2000
2002,BRA,Brazil,AMRO,-15.8,-47.9,HPS,65,28,37,0.4308,56,19,0,42.42,1674,601,1073,0.3556666666666667,33,2000
2003,BRA,Brazil,AMRO,-15.8,-47.9,HPS,47,18,29,0.383,43,22,0,37.5,1674,601,1073,0.3556666666666667,33,2000
2004,BRA,Brazil,AMRO,-15.8,-47.9,HPS,51,19,32,0.3725,39,11,0,36.54,1674,601,1073,0.3556666666666667,33,2000
2005,BRA,Brazil,AMRO,-15.8,-47.9,HPS,50,18,32,0.36,37,10,0,35.29,1674,601,1073,0.3556666666666667,33,2000
2006,BRA,Brazil,AMRO,-15.8,-47.9,HPS,46,11,35,0.2391,35,14,0,23.4,1674,601,1073,0.3556666666666667,33,2000
2007,BRA,Brazil,AMRO,-15.8,-47.9,HPS,54,20,34,0.3704,42,19,0,36.36,1674,601,1073,0.3556666666666667,33,2000
2008,BRA,Brazil,AMRO,-15.8,-47.9,HPS,48,15,33,0.3125,43,19,0,30.61,1674,601,1073,0.3556666666666667,33,2000
2009,BRA,Brazil,AMRO,-15.8,-47.9,HPS,68,26,42,0.3824,58,16,0,37.68,1674,601,1073,0.3556666666666667,33,2000
2010,BRA,Brazil,AMRO,-15.8,-47.9,HPS,50,15,35,0.3,39,21,0,29.41,1674,601,1073,0.3556666666666667,33,2010
2011,BRA,Brazil,AMRO,-15.8,-47.9,HPS,45,19,26,0.4222,39,19,0,41.3,1674,601,1073,0.3556666666666667,33,2010
2012,BRA,Brazil,AMRO,-15.8,-47.9,HPS,44,16,28,0.3636,37,11,0,35.56,1674,601,1073,0.3556666666666667,33,2010
2013,BRA,Brazil,AMRO,-15.8,-47.9,HPS,51,15,36,0.2941,38,16,0,28.85,1674,601,1073,0.3556666666666667,33,2010
2014,BRA,Brazil,AMRO,-15.8,-47.9,HPS,43,19,24,0.4419,40,20,0,43.18,1674,601,1073,0.3556666666666667,33,2010
2015,BRA,Brazil,AMRO,-15.8,-47.9,HPS,55,13,42,0.2364,51,19,0,23.21,1674,601,1073,0.3556666666666667,33,2010
2016,BRA,Brazil,AMRO,-15.8,-47.9,HPS,75,33,42,0.44,69,23,0,43.42,1674,601,1073,0.3556666666666667,33,2010
2017,BRA,Brazil,AMRO,-15.8,-47.9,HPS,53,22,31,0.4151,43,12,0,40.74,1674,601,1073,0.3556666666666667,33,2010
2018,BRA,Brazil,AMRO,-15.8,-47.9,HPS,51,22,29,0.4314,45,18,0,42.31,1674,601,1073,0.3556666666666667,33,2010
2019,BRA,Brazil,AMRO,-15.8,-47.9,HPS,36,13,23,0.3611,34,9,0,35.14,1674,601,1073,0.3556666666666667,33,2010
2020,BRA,Brazil,AMRO,-15.8,-47.9,HPS,48,20,28,0.4167,43,19,0,40.82,1674,601,1073,0.3556666666666667,33,2020
2021,BRA,Brazil,AMRO,-15.8,-47.9,HPS,60,19,41,0.3167,48,23,0,31.15,1674,601,1073,0.3556666666666667,33,2020
2022,BRA,Brazil,AMRO,-15.8,-47.9,HPS,70,29,41,0.4143,65,26,0,40.85,1674,601,1073,0.3556666666666667,33,2020
2023,BRA,Brazil,AMRO,-15.8,-47.9,HPS,63,25,38,0.3968,55,25,0,39.06,1674,601,1073,0.3556666666666667,33,2020
2024,BRA,Brazil,AMRO,-15.8,-47.9,HPS,67,28,39,0.4179,54,19,0,41.18,1674,601,1073,0.3556666666666667,33,2020
2025,BRA,Brazil,AMRO,-15.8,-47.9,HPS,41,15,26,0.3659,31,12,0,35.71,1674,601,1073,0.3556666666666667,33,2020
1995,CHL,Chile,AMRO,-33.4,-70.7,HPS,45,12,33,0.2667,39,10,0,26.09,1321,419,902,0.3186451612903226,31,1990
1996,CHL,Chile,AMRO,-33.4,-70.7,HPS,48,14,34,0.2917,37,15,2,28.57,1321,419,902,0.3186451612903226,31,1990
1997,CHL,Chile,AMRO,-33.4,-70.7,HPS,31,10,21,0.3226,23,6,1,31.25,1321,419,902,0.3186451612903226,31,1990
1998,CHL,Chile,AMRO,-33.4,-70.7,HPS,34,11,23,0.3235,30,16,1,31.43,1321,419,902,0.3186451612903226,31,1990
1999,CHL,Chile,AMRO,-33.4,-70.7,HPS,32,12,20,0.375,25,9,0,36.36,1321,419,902,0.3186451612903226,31,1990
2000,CHL,Chile,AMRO,-33.4,-70.7,HPS,31,12,19,0.3871,28,12,1,37.5,1321,419,902,0.3186451612903226,31,2000
2001,CHL,Chile,AMRO,-33.4,-70.7,HPS,38,9,29,0.2368,30,12,2,23.08,1321,419,902,0.3186451612903226,31,2000
2002,CHL,Chile,AMRO,-33.4,-70.7,HPS,51,14,37,0.2745,47,22,2,26.92,1321,419,902,0.3186451612903226,31,2000
2003,CHL,Chile,AMRO,-33.4,-70.7,HPS,47,14,33,0.2979,37,13,2,29.17,1321,419,902,0.3186451612903226,31,2000
2004,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,7,23,0.2333,22,5,2,22.58,1321,419,902,0.3186451612903226,31,2000
2005,CHL,Chile,AMRO,-33.4,-70.7,HPS,39,12,27,0.3077,30,11,1,30.0,1321,419,902,0.3186451612903226,31,2000
2006,CHL,Chile,AMRO,-33.4,-70.7,HPS,31,9,22,0.2903,25,10,1,28.12,1321,419,902,0.3186451612903226,31,2000
2007,CHL,Chile,AMRO,-33.4,-70.7,HPS,33,9,24,0.2727,28,11,2,26.47,1321,419,902,0.3186451612903226,31,2000
2008,CHL,Chile,AMRO,-33.4,-70.7,HPS,52,13,39,0.25,39,17,0,24.53,1321,419,902,0.3186451612903226,31,2000
2009,CHL,Chile,AMRO,-33.4,-70.7,HPS,52,21,31,0.4038,44,16,2,39.62,1321,419,902,0.3186451612903226,31,2000
2010,CHL,Chile,AMRO,-33.4,-70.7,HPS,46,15,31,0.3261,43,15,3,31.91,1321,419,902,0.3186451612903226,31,2010
2011,CHL,Chile,AMRO,-33.4,-70.7,HPS,50,13,37,0.26,38,10,0,25.49,1321,419,902,0.3186451612903226,31,2010
2012,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,10,20,0.3333,22,7,2,32.26,1321,419,902,0.3186451612903226,31,2010
2013,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,11,19,0.3667,24,6,1,35.48,1321,419,902,0.3186451612903226,31,2010
2014,CHL,Chile,AMRO,-33.4,-70.7,HPS,48,18,30,0.375,43,21,1,36.73,1321,419,902,0.3186451612903226,31,2010
2015,CHL,Chile,AMRO,-33.4,-70.7,HPS,42,15,27,0.3571,38,20,1,34.88,1321,419,902,0.3186451612903226,31,2010
2016,CHL,Chile,AMRO,-33.4,-70.7,HPS,49,18,31,0.3673,40,21,3,36.0,1321,419,902,0.3186451612903226,31,2010
2017,CHL,Chile,AMRO,-33.4,-70.7,HPS,48,17,31,0.3542,43,12,3,34.69,1321,419,902,0.3186451612903226,31,2010
2018,CHL,Chile,AMRO,-33.4,-70.7,HPS,44,16,28,0.3636,35,18,1,35.56,1321,419,902,0.3186451612903226,31,2010
2019,CHL,Chile,AMRO,-33.4,-70.7,HPS,30,11,19,0.3667,23,7,2,35.48,1321,419,902,0.3186451612903226,31,2010
2020,CHL,Chile,AMRO,-33.4,-70.7,HPS,51,17,34,0.3333,44,16,1,32.69,1321,419,902,0.3186451612903226,31,2020
2021,CHL,Chile,AMRO,-33.4,-70.7,HPS,43,15,28,0.3488,38,18,2,34.09,1321,419,902,0.3186451612903226,31,2020
2022,CHL,Chile,AMRO,-33.4,-70.7,HPS,42,13,29,0.3095,31,12,1,30.23,1321,419,902,0.3186451612903226,31,2020
2023,CHL,Chile,AMRO,-33.4,-70.7,HPS,66,19,47,0.2879,51,14,4,28.36,1321,419,902,0.3186451612903226,31,2020
2024,CHL,Chile,AMRO,-33.4,-70.7,HPS,55,13,42,0.2364,42,19,0,23.21,1321,419,902,0.3186451612903226,31,2020
2025,CHL,Chile,AMRO,-33.4,-70.7,HPS,53,19,34,0.3585,40,11,4,35.19,1321,419,902,0.3186451612903226,31,2020
1997,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,10,3,7,0.3,9,4,0,27.27,358,127,231,0.35394827586206895,29,1990
1998,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,12,5,7,0.4167,9,2,0,38.46,358,127,231,0.35394827586206895,29,1990
1999,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,11,4,7,0.3636,9,4,0,33.33,358,127,231,0.35394827586206895,29,1990
2000,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,9,3,6,0.3333,6,2,0,30.0,358,127,231,0.35394827586206895,29,2000
2001,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,10,2,8,0.2,7,3,0,18.18,358,127,231,0.35394827586206895,29,2000
2002,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,15,5,10,0.3333,14,5,0,31.25,358,127,231,0.35394827586206895,29,2000
2003,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,11,5,6,0.4545,8,4,0,41.67,358,127,231,0.35394827586206895,29,2000
2004,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,8,3,5,0.375,6,3,0,33.33,358,127,231,0.35394827586206895,29,2000
2005,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,10,4,6,0.4,7,2,0,36.36,358,127,231,0.35394827586206895,29,2000
2006,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,5,8,0.3846,11,5,0,35.71,358,127,231,0.35394827586206895,29,2000
2007,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,11,4,7,0.3636,9,4,0,33.33,358,127,231,0.35394827586206895,29,2000
2008,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,10,3,7,0.3,9,4,0,27.27,358,127,231,0.35394827586206895,29,2000
2009,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,14,5,9,0.3571,11,3,0,33.33,358,127,231,0.35394827586206895,29,2000
2010,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,4,9,0.3077,11,3,0,28.57,358,127,231,0.35394827586206895,29,2010
2011,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,14,6,8,0.4286,12,4,0,40.0,358,127,231,0.35394827586206895,29,2010
2012,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,9,4,5,0.4444,7,2,0,40.0,358,127,231,0.35394827586206895,29,2010
2013,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,5,8,0.3846,12,5,0,35.71,358,127,231,0.35394827586206895,29,2010
2014,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,4,9,0.3077,12,6,0,28.57,358,127,231,0.35394827586206895,29,2010
2015,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,11,2,9,0.1818,9,4,0,16.67,358,127,231,0.35394827586206895,29,2010
2016,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,18,5,13,0.2778,15,5,0,26.32,358,127,231,0.35394827586206895,29,2010
2017,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,17,7,10,0.4118,15,5,0,38.89,358,127,231,0.35394827586206895,29,2010
2018,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,12,3,9,0.25,9,4,0,23.08,358,127,231,0.35394827586206895,29,2010
2019,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,6,7,0.4615,12,4,0,42.86,358,127,231,0.35394827586206895,29,2010
2020,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,6,7,0.4615,11,3,0,42.86,358,127,231,0.35394827586206895,29,2020
2021,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,3,10,0.2308,12,5,0,21.43,358,127,231,0.35394827586206895,29,2020
2022,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,13,5,8,0.3846,11,3,0,35.71,358,127,231,0.35394827586206895,29,2020
2023,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,12,5,7,0.4167,10,4,0,38.46,358,127,231,0.35394827586206895,29,2020
2024,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,15,6,9,0.4,12,5,0,37.5,358,127,231,0.35394827586206895,29,2020
2025,BOL,Bolivia,AMRO,-16.5,-68.2,HPS,15,5,10,0.3333,11,2,0,31.25,358,127,231,0.35394827586206895,29,2020
1995,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,12,4,8,0.3333,10,3,0,30.77,306,89,217,0.2831903225806452,31,1990
1996,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,1,7,0.125,6,2,0,11.11,306,89,217,0.2831903225806452,31,1990
1997,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,2,6,0.25,7,2,0,22.22,306,89,217,0.2831903225806452,31,1990
1998,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,3,5,0.375,6,2,0,33.33,306,89,217,0.2831903225806452,31,1990
1999,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,10,4,6,0.4,7,3,0,36.36,306,89,217,0.2831903225806452,31,1990
2000,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,2,7,0.2222,7,3,0,20.0,306,89,217,0.2831903225806452,31,2000
2001,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,10,2,8,0.2,8,2,0,18.18,306,89,217,0.2831903225806452,31,2000
2002,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,2,7,0.2222,6,1,0,20.0,306,89,217,0.2831903225806452,31,2000
2003,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,3,6,0.3333,7,2,0,30.0,306,89,217,0.2831903225806452,31,2000
2004,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,11,3,8,0.2727,9,2,0,25.0,306,89,217,0.2831903225806452,31,2000
2005,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,7,1,6,0.1429,5,1,0,12.5,306,89,217,0.2831903225806452,31,2000
2006,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,7,1,6,0.1429,5,1,0,12.5,306,89,217,0.2831903225806452,31,2000
2007,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,2,6,0.25,6,2,0,22.22,306,89,217,0.2831903225806452,31,2000
2008,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,3,6,0.3333,7,1,0,30.0,306,89,217,0.2831903225806452,31,2000
2009,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,14,5,9,0.3571,10,3,0,33.33,306,89,217,0.2831903225806452,31,2000
2010,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,12,4,8,0.3333,9,2,0,30.77,306,89,217,0.2831903225806452,31,2010
2011,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,2,7,0.2222,7,2,0,20.0,306,89,217,0.2831903225806452,31,2010
2012,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,3,5,0.375,6,1,0,33.33,306,89,217,0.2831903225806452,31,2010
2013,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,11,4,7,0.3636,9,3,0,33.33,306,89,217,0.2831903225806452,31,2010
2014,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,2,6,0.25,6,1,0,22.22,306,89,217,0.2831903225806452,31,2010
2015,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,10,3,7,0.3,7,2,0,27.27,306,89,217,0.2831903225806452,31,2010
2016,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,11,3,8,0.2727,8,4,0,25.0,306,89,217,0.2831903225806452,31,2010
2017,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,12,4,8,0.3333,10,3,0,30.77,306,89,217,0.2831903225806452,31,2010
2018,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,8,2,6,0.25,6,2,0,22.22,306,89,217,0.2831903225806452,31,2010
2019,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,9,2,7,0.2222,7,2,0,20.0,306,89,217,0.2831903225806452,31,2010
2020,PRY,Paraguay,AMRO,-25.3,-57.6,HPS,10,3,7,0.3,8,4,0,27.27,306,89,217,0.2831903225806452,31,2020
